epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,105.671,0.70704,1.03882,1.07995,0.94533,0.3942,0.42284,0.30671,1.7093,2.35007,1.47188,2.7222e-05,2.7222e-05,2.7222e-05
68,107.294,0.94453,1.80005,1.35117,0.94533,0.3942,0.42284,0.30671,1.7093,2.35007,1.47188,2.68451e-05,2.68451e-05,2.68451e-05
69,108.985,0.57113,1.02476,1.08741,0.94427,0.39145,0.42284,0.30643,1.74321,2.39437,1.51628,2.64447e-05,2.64447e-05,2.64447e-05
70,110.594,0.88966,0.88056,1.34916,0.94427,0.39145,0.42284,0.30643,1.74321,2.39437,1.51628,2.60207e-05,2.60207e-05,2.60207e-05
71,112.112,1.00053,1.26359,1.36367,0.94427,0.39145,0.42284,0.30643,1.74321,2.39437,1.51628,2.55731e-05,2.55731e-05,2.55731e-05
72,113.605,0.57547,0.61473,1.04118,0.94614,0.39303,0.42316,0.30992,1.74652,2.39538,1.5082,2.5102e-05,2.5102e-05,2.5102e-05
73,115.058,0.67777,0.90952,1.05864,0.94614,0.39303,0.42316,0.30992,1.74652,2.39538,1.5082,2.46073e-05,2.46073e-05,2.46073e-05
74,116.556,0.66043,0.70442,1.17126,0.94614,0.39303,0.42316,0.30992,1.74652,2.39538,1.5082,2.40891e-05,2.40891e-05,2.40891e-05
75,118.035,0.68697,0.57836,1.12505,0.94612,0.39235,0.42324,0.31018,1.73887,2.38618,1.4886,2.35472e-05,2.35472e-05,2.35472e-05
76,119.519,0.57765,0.87595,1.0983,0.94612,0.39235,0.42324,0.31018,1.73887,2.38618,1.4886,2.29819e-05,2.29819e-05,2.29819e-05
77,120.971,0.62677,0.59467,1.08324,0.94612,0.39235,0.42324,0.31018,1.73887,2.38618,1.4886,2.23929e-05,2.23929e-05,2.23929e-05
78,122.399,0.79339,1.08757,1.13802,0.94591,0.39127,0.42346,0.29346,1.74899,2.40552,1.4897,2.17805e-05,2.17805e-05,2.17805e-05
79,123.848,0.58517,0.73589,1.09927,0.94591,0.39127,0.42346,0.29346,1.74899,2.40552,1.4897,2.11444e-05,2.11444e-05,2.11444e-05
80,125.381,0.67699,0.76876,1.12326,0.94591,0.39127,0.42346,0.29346,1.74899,2.40552,1.4897,2.04848e-05,2.04848e-05,2.04848e-05
81,126.913,0.5028,0.46511,0.98555,0.94537,0.39283,0.42418,0.29373,1.74659,2.4049,1.48356,1.98016e-05,1.98016e-05,1.98016e-05
82,128.368,0.74836,0.6987,1.1556,0.94537,0.39283,0.42418,0.29373,1.74659,2.4049,1.48356,1.90949e-05,1.90949e-05,1.90949e-05
83,129.848,0.81204,0.83059,1.20109,0.94537,0.39283,0.42418,0.29373,1.74659,2.4049,1.48356,1.83646e-05,1.83646e-05,1.83646e-05
84,131.31,0.58675,0.58677,1.03048,0.94136,0.39164,0.42348,0.29595,1.75443,2.42283,1.48002,1.76107e-05,1.76107e-05,1.76107e-05
85,132.787,0.6214,0.8032,1.15231,0.94136,0.39164,0.42348,0.29595,1.75443,2.42283,1.48002,1.68333e-05,1.68333e-05,1.68333e-05
86,134.23,0.88554,0.83727,1.16185,0.94136,0.39164,0.42348,0.29595,1.75443,2.42283,1.48002,1.60323e-05,1.60323e-05,1.60323e-05
87,135.678,0.67888,0.79776,1.02879,0.94136,0.39164,0.42348,0.29595,1.75443,2.42283,1.48002,1.52077e-05,1.52077e-05,1.52077e-05
88,137.197,0.73493,0.96532,1.33714,0.94018,0.39071,0.42325,0.29605,1.74859,2.4259,1.4657,1.43596e-05,1.43596e-05,1.43596e-05
89,139.085,1.04388,1.04616,1.51576,0.94018,0.39071,0.42325,0.29605,1.74859,2.4259,1.4657,1.34879e-05,1.34879e-05,1.34879e-05
90,140.687,0.58032,0.67113,0.97746,0.94018,0.39071,0.42325,0.29605,1.74859,2.4259,1.4657,1.25927e-05,1.25927e-05,1.25927e-05
91,142.159,0.51841,0.53204,0.92884,0.94018,0.39071,0.42325,0.29605,1.74859,2.4259,1.4657,1.16739e-05,1.16739e-05,1.16739e-05
92,143.675,0.63365,0.7687,0.93433,0.9497,0.38954,0.42241,0.29441,1.76371,2.51427,1.48006,1.07315e-05,1.07315e-05,1.07315e-05
93,145.251,0.40245,0.49044,0.94217,0.9497,0.38954,0.42241,0.29441,1.76371,2.51427,1.48006,9.76562e-06,9.76562e-06,9.76562e-06
94,146.79,0.54345,0.49069,0.89174,0.9497,0.38954,0.42241,0.29441,1.76371,2.51427,1.48006,8.77613e-06,8.77613e-06,8.77613e-06
95,148.378,0.42921,0.50573,0.93158,0.9497,0.38954,0.42241,0.29441,1.76371,2.51427,1.48006,7.76308e-06,7.76308e-06,7.76308e-06
96,149.909,0.43496,0.49517,0.97271,0.94513,0.38811,0.4221,0.31111,1.78198,2.56769,1.50133,6.72648e-06,6.72648e-06,6.72648e-06
97,151.345,0.67195,0.67463,1.03805,0.94513,0.38811,0.4221,0.31111,1.78198,2.56769,1.50133,5.6663e-06,5.6663e-06,5.6663e-06
98,152.795,0.48993,0.5205,0.91526,0.94513,0.38811,0.4221,0.31111,1.78198,2.56769,1.50133,4.58257e-06,4.58257e-06,4.58257e-06
99,154.236,0.55922,0.59229,0.96758,0.94513,0.38811,0.4221,0.31111,1.78198,2.56769,1.50133,3.47528e-06,3.47528e-06,3.47528e-06
100,156.046,0.47152,0.52791,0.96389,0.95068,0.386,0.42209,0.31063,1.73287,2.5375,1.45865,2.34442e-06,2.34442e-06,2.34442e-06
